id;Year2;GDPPC2;Infl2;DemocracyScore2;Lifeexp2;CorrPI2
129;2021;5703.25;8.137770384;;67.591;45
130;2021;;;;;
131;2024;4356.33;5.95;5.48;68.68;43
132;2023;24510.79;12.37190436;6.33;74.137;36
133;2020;30056.2;1.20266464;;73.532;66
134;2023;1664.54;47.64287333;4.32;60.411;35
135;2020;115304.15;-0.181916667;6.03;82.861;85
136;2023;39259.88;10.53194766;7.07;75.33;54
137;2022;47558.27;8.833698867;7.75;82.133;56
138;2024;2735.52;5.88585897;;;43
139;2024;14284.34;6.073908532;7.05;66.1;41
140;2022;49933.9763;5.089513651;8.03;84.024;63
141;2023;46356.61;3.532361335;8.07;83.912;60
142;2024;13029.52;16.54117423;6.17;77.48;34
143;2020;19092.2;34.88978431;6.82;72.561;38
144;2022;64621.55;8.369290989;9.39;83.505;83
145;2023;82914.29;2.13540088;9.14;84.255;82
146;2024;76860;2.09;8.92;80.56;67
147;2020;3805.19;8.58;1.94;67.994;25
148;2020;3408.91;3.290290628;5.1;66.408;38
149;2023;21112.64;1.228026235;6.35;79.68;35
150;2023;4604.82;7;7.06;69.056;43
151;2024;2844.1;5.3;2.99;62.74;31
152;2021;6742.46;5.640511406;;70.986;
153;2020;28059.57;0.598986331;7.16;74.406;40
154;2024;12332.15;9.328995975;5.51;76.51;40
155;2023;34414.23;53.85940876;4.33;78.475;34
156;2022;8792.55;;1.66;69.41;19
157;2021;2688.27;2.204572048;4.48;62.705;27
158;2019;17839.21;7.886717456;5.9;74.536;30
159;2023;75627.05;1.62;3.01;79.196;68
160;2024;48866.6;6.793967068;8.28;81.3;71
161;2024;66451;4.116338384;7.85;79.3;69
162;2024;30701.91;5.869103599;8.66;78.14;73
163;2023;8765.55;112.6;2.12;71.674;33
164;2022;2992.89;6.679305819;;70.492;48
165;2024;3737.81;;2.31;72.51;13
166;2024;;;;;
167;2021;3526.51;22.02076762;5.72;62.36;33
168;2023;3515.24;667.36;3.04;62.77;24
